code,name,name_eng,price,shares_common,mcap_common,mcap_total,corp_code,induty_code,fiscal_month,fs_div,currency,fin_rule,net_income_parent,equity_parent,net_income_parent_prior,equity_parent_prior,dps_common,eps_reported,payout_reported_pct,valueup_plan,valueup_first_plan_date,valueup_first_preview_date,valueup_filings,is_financial
039490,키움증권,"KIWOOM Securities Co.,Ltd.",266000,26228316,6976732056000,6976732056000,00296290,66121,12,CFS,KRW,standard,1113586445154.0,6704409812790.0,835047385103.0,5587733020894.0,11500.0,44379.0,27.05,True,20240528,,4,True
000880,한화,HANWHA CORP,130000,53328897,6932756610000,7520554960650,00160588,20494,12,CFS,KRW,standard,372479000000.0,11840206000000.0,772976000000.0,10759984000000.0,1100.0,4072.0,26.49,True,20260114,,2,False
352820,하이브,"HYBE Co., Ltd.",156800,43106836,6759151884800,6759151884800,01204056,592,12,CFS,KRW,standard,-237280415000.0,3257026727000.0,9379803000.0,3214652758000.0,500.0,-5690.0,-9.05,True,20260423,,1,False
064400,LG씨엔에스,"LG CNS Co., Ltd.",69400,96885948,6723884791200,6723884791200,00139834,62021,12,CFS,KRW,standard,437876523000.0,2932750548000.0,364512422000.0,2115116477000.0,1850.0,4549.0,40.9,True,20260324,,1,False
128940,한미약품,"Hanmi Pharm. Co., Ltd.",520000,12810991,6661715320000,6661715320000,00828497,21212,12,CFS,KRW,standard,169554330032.0,1249756305417.0,121315102389.0,1084893341851.0,2000.0,13372.0,14.6,True,20250305,,2,False
009830,한화솔루션,HANWHA SOLUTIONS CORPORATION,29200,224892536,6566862051200,6609738830800,00162461,20111,12,CFS,KRW,standard,-650442000000.0,9101238000000.0,-1404399000000.0,9449650000000.0,0.0,-3963.0,0.0,False,,,0,False
062040,산일전기,"SANIL ELECTRIC CO., LTD",205500,30642850,6297105675000,6297105675000,00366438,28112,12,CFS,KRW,standard,148921775330.0,585470613825.0,83676177904.0,434241887238.0,1250.0,4964.0,25.14,True,20260326,,1,False
032640,LG유플러스,LG Uplus Corp,14640,424427732,6213621996480,6213621996480,00231363,61220,12,CFS,KRW,standard,523866000000.0,8866858000000.0,374464000000.0,8556021000000.0,660.0,1221.0,53.73,True,20241122,,3,False
267270,HD건설기계,"HD Construction Equipment Co.,Ltd.",129700,47497386,6160410964200,6160410964200,01205842,29241,12,CFS,KRW,standard,99380124000.0,1805220579000.0,99970496000.0,1657828153000.0,550.0,5698.0,26.5,True,20241212,,2,False
001440,대한전선,"Taihan Cable & Solution Co., Ltd.",30950,195992596,6065970846200,6065970846200,00113207,28302,12,CFS,KRW,standard,84220667290.0,1601618322696.0,70445443745.0,1473203571898.0,0.0,453.0,0.0,False,,,0,False
326030,SK바이오팜,"SK biopharmaceuticals Co., Ltd.",75900,78313250,5943975675000,5943975675000,00878696,7011,12,CFS,KRW,standard,266950497803.0,813035724864.0,240738037875.0,546273129341.0,0.0,3409.0,0.0,False,,,0,False
353200,대덕전자,"DAEDUCK ELECTRONICS CO.,LTD",119400,49416925,5900380845000,5952664044050,01478712,2622,12,CFS,KRW,standard,47605327690.0,897305160164.0,23762727122.0,875513939249.0,500.0,924.0,54.1,True,20260327,,1,False
000990,DB하이텍,"DB HiTek Co.,LTD",132000,43504588,5742605616000,5742605616000,00160843,2611,12,CFS,KRW,standard,256071900592.0,2142364349472.0,229473615387.0,1949982258640.0,810.0,6285.0,13.53,True,20240814,20240614,4,False
175330,JB금융지주,"JB FINANCIAL GROUP CO.,LTD",30150,186521824,5623632993600,5623632993600,00980122,64992,12,CFS,KRW,standard,710386000000.0,5914615000000.0,677517000000.0,5580578000000.0,1140.0,3619.0,30.0,True,20240924,20240826,5,True
